Row Labels,total_transaction,total_amount_usd,Count of risk_score,high_risk _transactions
Alpha Mart,11,40698,10,6
T001,1,4998,1,1
T002,1,2499,1,0
T005,1,4641,1,0
T007,1,5355,1,1
T009,1,1487.5,1,0
T011,1,2320.5,,0
T013,1,3689,1,1
T015,1,1547,1,1
T019,1,3094,1,1
T020,1,6188,1,1
T022,1,4879,1,0
Beta Stores,11,41531,11,9
T003,1,6069,1,1
T004,1,1904,1,0
T006,1,3272.5,1,1
T008,1,4046,1,0
T010,1,7259,1,1
T012,1,2975,1,1
T014,1,5593,1,1
T016,1,2618,1,1
T017,1,2142,1,1
T018,1,1725.5,1,1
T021,1,3927,1,1
City Pharma,2,8640,2,0
T023,1,5616,1,0
T025,1,3024,1,0
Delta Travels,4,14600,4,3
T027,1,7200,1,0
T028,1,3100,1,1
T029,1,2500,1,1
T030,1,1800,1,1
Eco Home,2,10152,2,1
T024,1,6588,1,1
T026,1,3564,1,0
T001 Count,1,1,1,1
T002 Count,1,1,1,1
T003 Count,1,1,1,1
T004 Count,1,1,1,1
T005 Count,1,1,1,1
T006 Count,1,1,1,1
T007 Count,1,1,1,1
T008 Count,1,1,1,1
T009 Count,1,1,1,1
T010 Count,1,1,1,1
T011 Count,1,1,,1
T012 Count,1,1,1,1
T013 Count,1,1,1,1
T014 Count,1,1,1,1
T015 Count,1,1,1,1
T016 Count,1,1,1,1
T017 Count,1,1,1,1
T018 Count,1,1,1,1
T019 Count,1,1,1,1
T020 Count,1,1,1,1
T021 Count,1,1,1,1
T022 Count,1,1,1,1
T023 Count,1,1,1,1
T024 Count,1,1,1,1
T025 Count,1,1,1,1
T026 Count,1,1,1,1
T027 Count,1,1,1,1
T028 Count,1,1,1,1
T029 Count,1,1,1,1
T030 Count,1,1,1,1
Grand Total,30,115621,29,19
